textid	Language	text	target
3009	en	"Take them all back
Take them all back
Take them all back
I'm not too sure what I'm supposed to do with this
These hands, this mind, this instability
From a cage I created, to a hell that heaven made
Can't let go of the hatred
cause I love the way it tastes
Take them all back
I wouldn't take back a moment
Not one miserable moment
I'll give it all 'til there's nothing
I'd walk into the fire
Into the fire
I'd walk into the fire
Into the fire
Into the fire
I've come to terms with the fact I'll never change
And that's just fine, I find solace in the pain
I don't mind the darkness
it's easy on the eyes
I'm praying for something to make me feel alive
I wouldn't take back a moment
Not one miserable moment
I'll give it all 'til there's nothing
I'd walk into the fire
Into the fire
I'd walk into the fire
Into the fire
Into the fire
I'm a paranoid, sycophant
Masochistic dilettante
Narcissistic elephant in the room
I'm the end of the world
Thinning the herd
The all around outta my mind, fucking absurd
I am gone
I am gone
I wouldn't take back a moment
I'd walk into the fire
Into the fire
I'd walk into the fire
Into the fire
Into the fire
Fire
Take them all back!"	Metal
1686	en	"Start every week with a break neck urgent design
And end every speed day with my
briefcase representing free time
Spending my fruit as my purchases become my lifeline
Please give my love to my family
I'll doubtfully be home at Christmas time
don't disturb me in this state
please leave me purgatorying
I'll be damned if I'm to wake
This is far more than I am equipped for."	Rock
2733	en	"Nations battle on the field across the lands
Ruthless - stealing territories from our hands
Anger throwing down the victims to the ground
Cold blood younger soldiers
weeping with no sound
Revolution striking down right now!
Blind fools fighting for the power to command
Flag poles threading down
the freedom of our men
Innocence dying by the fury of the sword
Poor men
falling before saying their last words
Revelation code Xi
Striking over us
Sounds of revolution
Freedom is proclaimed
Bells announcing changes for the better
in the temple of hate
The Temple of Hate!
Satan awaits!
Revolution we have waited
Burning down our souls
Sounds of revolution
Freedom is proclaimed
Bells announcing changes for the better
in the temple of hate
Satan awaits!
The Temple of Hate!"	Metal
1895	en	"The telephone is ringing
You got me on the run
I'm driving in my car now
Anticipating fun
I'm driving right up to you, babe
I guess that you couldn't see, yeah yeah
But you were under my wheels honey
Why don't you let me be
'Cause when you call me on the telephone
Saying take me to the show
And then I say, honey, I just can't go
Old lady's sick and I can't leave her home
The telephone is ringing
You got me on the run
I'm driving in my car now
I got you under my wheels
I got you under my wheels
I got you under my wheels
Yeah yeah
I got you under my wheels
Yeah yeah
I got you under my wheels
The telephone is ringing
You got me on the run
I'm driving in my car now
Anticipating fun
I'm driving right up to you, babe
I guess you that couldn't see, yeah yeah
But you was under my wheels, honey
Why don't you let me be, yeah yeah
I got you under my wheels
I got you under my wheels
I got you under my wheels
Yeah yeah."	Rock
1816	en	"I am here to tell you a story
A story that will torture your thoughts by day and
poison your dreams by night
And though I will do my best,
There are no words that can be written
Nor brush strokes laid on canvas that can describe
This dark and utter horror of the night that annabel died
The emptiness will haunt you
This is a nightmare
Is my annabel really gone?
Why have I stopped my day oh,
I find it hard to breathe
Her body teases me
As the sun reveals the dawn
Her smile reflects the gold
I kissed a sharp painful lie
Baby lay in my arms
And cuddle me close
Soon this will be
Just an awful memory
(will I ever be able to sleep again?)
My angel lie to me
And tell me I'm dreaming
(please wake me up, please wake me)
A feel like you will always be
Such a tradgic part of me
(I'll watch to see you torture me)
I watch the blood drip
From the corners of your mouth
The watch seems vicious for me
I'll frown and slit your throat
I'm starting to believe
What my eyes are seeing now
Eyes look so beautiful
And you know what I'll be now
Baby lay in my arms
And cuddle me close
Soon this will be
Just an awful memory
(will I ever be able to sleep again?)
My angel lie to me
And tell me im dreaming
(please wake me up, please wake me)
A feel like you will always be
Such a tradgic part of me
(I'll watch to see you torture me)
Sweet, raffish
It will be
Mine
It will be
Done
Empty eyes accuse
A face so evil
I'm comming undone
The mirror says it all
Eclipse and story
Of innocence lost
Empty eyes accuse
A face so evil
I'm comming undone
I said look at me my real angel
Abyss, I know, I will speak against you
Fly forgive me
My one I see, never say you know
Never for me, though it was for you
Fly me monster
Such an awful memory
(will I ever be able to sleep again?)
My angel lie to me
And tell me I'm dreaming
(please wake me up, please wake me)
A feel like you will always be
Such a tragic part of me
(I'll watch to see you torture me)
Sweet, raffish
It will be
Mine
It will be
Done
(a mirror never lies
They know, everybody knows
Do you not see what they see?
A mirror never lies
I see what they see
Everybody knows, everybody knows)"	Metal
2975	en	"It's ever so funny
I don't think you're special, I don't think you're cool
You're just probably alreyt
But under these lights you look beautiful
But I'm struggling
I can't see through your fake tan
And you know it for a fact that
Everybody's eating out of your hands
What do you know?
you know nothing
But I'll still take you home
Fancy seeing you in here
You're all tarted up and you don't look the same
I haven't seen you since last year
And surprisingly you have forgot my name
But you know it and you knew it all along
Oh you say you have forgotten
But you're fibbing go on tell me I'm wrong
What do you know?
You know nothing
But I'll still take you home
I fancy you with a passion
You're a Topshop princess, a rockstar too
You're a fad you're a fashion
And I'm having a job trying to talk to you
But it's alright, put it all on one-side
Everybody's looking, you've got control of everyone's eyes
Including mine"	Rock
980	en	"I close my eyes
Only for a moment and the moment's gone
All my dreams
Pass before my eyes in curiosity
Dust in the wind
All they are is dust in the wind
Same old song
Just a drop of water in an endless sea
All we do crumbles
To the ground, though we refuse to see
Dust in the wind
All we are is dust in the wind
Oh! Hmmmm...
Don't hang on
Nothing lasts forever but the earth and sky
It slips away
And all your money won't another minute buy
Dust in the wind
All we are is dust in the wind
Dust in the wind
All we are is dust in the wind
In the wind.
in the wind..
the wind"	Pop
190	en	"Rubber headed motor junky, run me down
And try to stomp me
Throw my life away, and I'll be worthless
Just like you
Somewhere now a baby's crying, down the
Road his mother's dying
Shot a line and blew her mind and now
She's turning blue
Don't you throw your life away, just wait
Until another day
Don't you throw your life away, cause
Baby I can feel it
Don't you ever compromise it, don't you
Even realize it
Don't throw your life away, cause baby I can feel it, now
Trip and fall,
I'm sure you all can tell me
What is on the wall
Behind the liquor store where you get
Smacked up all the time
Perfect little life you wasted, overdosed
And that death you tasted
Scared you back into yourself, and now
You walk the line
Don't you throw your life away, just wait
Until another day
Don't you throw your life away, cause
Baby I can feel it
Don't you ever compromise it, don't you
Even realize it
Don't throw your life away, cause baby I can feel it, now
Life away
Life away
Life away"	Metal
699	en	"Well if you're lookin' for trouble
I'm the man to see
If you're lookin' for satisfaction
I'm satisfaction guaranteed
I'm as cool as a body on ice
Hotter than a rollin' dice
Send you to heaven
Take you to hell
I ain't foolin'
Can't you tell
I'm a live wire, I'm a live wire, I'm a live wire
Gonna set this town on fire
And if you need some lovin'
And if you need some man
You've got the phone and the number
And I got no future plans
Oh come on honey you got nothin' to lose
You got the thirst 'n I got the booze
Give you an inch
Take you a mile
I wanna make you fry
I'm a live wire, (live wire)
I'm a live wire, (live wire)
I'm a live wire, (live wire)
Holy smoke and sweet desire
Like a hot rod baby?
Oh stick this in your fuse box
Aah cooler than a body on ice
Hotter than a rollin' dice
Wilder than a drunken fight
You're gonna burn tonight
I'm a live wire, (live wire)
I'm a live wire, (live wire)
I'm a live wire, (live wire)
And I'm gonna set this town on fire
Live wire, (live wire)
I'm a live wire, (live wire)
Well I'm your live wire, (live wire)
I'm a live wire, (live wire)
You're gonna burn
Ah look at me, guilty
Burn, burn, burn, burn, burn, burn, burn"	Rock
606	en	"Got a taste of a rocking band,
Standing there holding out your hand,
Better lock up all your doors,
She’s like a spinning dynamo,
You’re handing out the token prize,
Giving you a brand new ride,
Ooh there she goes, she goes,
And nobody knows where she goes,
Banging drums, working out all fast,
Heavy tune I can play it loud,
You know she’s blowing away all the others,
You’re never man enough take it on all night,
You better razzle dazzle on that stage,
Keep on rocking all through the night,
Ooh there she goes, she goes,
And nobody knows,
Where she goes she goes,
A heavy rocking tune is playing,
Playing as the night rolls on,
Sneaking off with the Romeo,
Where she goes, nobody knows
(Guitar Solo)
A heavy rocking tune is playing on a flat screen colour TV,
Sneaking over creepy crawly, never give it up to take it out through the night,
There she goes she goes, and nobody knows,
There she goes she goes, and nobody knows,
Where she goes she goes, and nobody knows,
Where she goes she goes, and nobody knows,
Where she goes she goes"	Rock
