pairid	sentid	comparison	sentence	source
3	1	expected	"Amor estoy solo agui en la playa
Es el sol quien que me acompana
Y me quema, y me quema, y me quemana
Cuando calienta el sol aqui en la playa
Siento tu cuerpo vibrar cerca de mi
Es tu palpitar, es tu cara, es tu pelo
Son tus besos, me estremezco (Oh oh oh)
Cuando calienta el sol
Cuando calienta el sol aqui en la playa
Siento tu cuerpo vibrar cerca de mi
Es tu palpitar, tu recuerdo, mi locura
Mi delirio, me estremezco (Oh oh oh)
Cuando calienta el sol
Cuando calienta el sol"	es
1	1	expected	"GOT TO FIND A WAY
(desconhecido)

One two three four
Shaa...
Somebody call the cops
How come you bust my chops
You play I miss gods so real
Who you remind me of
And where your head I shove
I kiss your love of love for free
Say what's on your mind
Ya say ya wanna grind
We'll do it 'til I'm blind ya see
'Cause I got to find a way
Got to find a way
Got to find a way
Yeah yeah goin' to play
Got to find a way
Got to find a way
Got to find a way
Baa..
yeah
When I say oo la la
You say excuse..
moi
Like you done say cha..
cha ta me
Ha ha
You say I think I'm class
How come you hook your ass
Don't give no lip an' sass ta me
Because got to find a way
Got to find a way
I got to find a way
Yeah..
ah yeah yeah yeah
Got to find a way
Got to find a way
Got to find a way
Yeah ah..
yeah yeah yeah ah..
yeah
Here we go
Ah whoo..
oo
Got to find a way
Got to find a way
Got to find a way
Yeah yeah y yeah yeah yeah
Got to find a way
Got to find a way
Got to
One more
Yeah yeah yeah yeah yeah
Got to find a way
Got to find a way
Got to find a way"	en
1	1	expected	"She was a fast machine
She kept the motor clean
She was the best damn woman that I ever seen
She had sightless eyes
Telling me no lies
Knockin' me out with those American thighs
Taking more than her share
Had me fighting for air
She told me to come, but I was already there
Cause the walls started shaking
The earth was quaking
My mind was aching
And we were makin' it
and you...
Shook me all night long
Yeah you, shook me all night long
Walking double time on the seduction line
She was one of a kind
She's just mine all mine
Wanted no applause
It's just another cause
Made a meal out of me, and come back for more
Had to cool me down
To take another round
Now I'm back in the ring to take another swing
But the walls was shaking
Earth was quaking
My mind was aching
And we were making it
and you...
Shook me all night long
Yeah you, shook me all night long
Knockin' me out, yeah you
Shook me all night long
You really shook me, yeah you
Shook me all night long
Yeah, you shook me
Well you shook me...
You, shook me all night long
Yeah you,Shook me all night long
You really got me, and you
Shook me all night long
You really got me, and you
Shook me all night long
Yeah you shook me
Yeah you shook me
All night long..."	en
2	1	expected	"Hoje é o dia
Eu quase posso tocar o silêncio
A casa vazia
Só as coisas que você não quis
Me fazem companhia
Eu fico à vontade com a sua ausência
Eu já me acostumei a esquecer
Tudo que vai
Deixa o gosto, deixa as fotos
Quanto tempo faz
Deixa os dedos, deixa a memória
Eu nem me lembro mais
Salas e quartos
Somem sem deixar vestígio
Seu rosto em pedaços
Misturado com o que não sobrou
Do que eu sentia
Eu lembro dos filmes que eu nunca vi
Passando sem parar
Em algum lugar.
Tudo que vai
Deixa o gosto, deixa as fotos
Quanto tempo faz
Deixa os dedos, deixa a memória
Eu nem me lembro mais
Fica o gosto, ficam as fotos
Quanto tempo faz
Ficam os dedos, fica a memória
Eu nem me lembro mais
Quanto tempo, eu já nem sei mais o que é meu
Nem quando, nem onde
Tudo que vai
Deixa o gosto, deixam as fotos
Quanto tempo faz
Deixam os dedos, deixa a memória
Eu nem me lembro mais
Fica o gosto, ficam as fotos
Quanto tempo faz
Ficam os dedos, fica a memória
Eu nem me lembro mais
Eu nem me lembro mais..
(4x)"	pt
3	1	expected	"Ya no importa cada noche que esperé
Cada calle o laberinto que crucé
Porque el cielo ha conspirado a mi favor
Y a un segundo de rendirme te encontré
Piel con piel
El corazón se me desarma
Me haces bien
Enciendes luces en mi alma
Creo en ti
Y en este amor
Que me ha vuelto indestructible
Que detuvo mi caída libre
Creo en ti
Y mi dolor se quedo kilómetros atrás
Mis fantasmas hoy por fin están en paz
El pasado es un mal sueño que acabó
Un incendio que en tus brazos se apagó
Cuando estaba a medio paso de caer
Mis silencios se encontraron con tu voz
Te seguí y rescribiste mi futuro
Es aquí mi único lugar seguro
Creo en ti
Y en este amor
Que me ha vuelto indestructible
Que detuvo mi caída libre
Creo en ti
Y mi dolor se quedo km atrás
Mis fantasmas hoy por fin están en paz"	es
3	1	expected	"No me preguntes más por mi
Si ya sabes cual es la respuesta
Desde el momento en que te vi
Se hay lo que voy
Yo me propongo ser de ti
Una víctima casí perfecta
Yo me propongo ser de ti
Un volcano
El amor talvez es un mal común
Y así como ves
Estoy viva aún
Será cuestión de suerte
Bien, creo que empiezo a entender
Despacio, despacio, comienzas a entender
Que nos deseábamos desde antes de nacer
Te siento, te siento, desde antes de nacer
tengo el presentimiento de que empieza la acción
Adentro, adentro, te vas quedando
Y las mujeres somos las de la intuición
Así, estoy despuesta a todo amor

Yo te propongo un desliz
Un error convertido en acierto
Yo me propongo ser de ti
Un volcano
El amor tal ez es un mal común
Y así como ves
Estoy viva aun
Será cuestión de suerte
Creo que empiezo a entender
Despacio, despacio, comienzas a entender
Que nos deseábamos desde antes de nacer
Te siento, te siento, desde antes de nacer
tengo el presentimiento de que empieza la acción
Adentro, adentro, te vas quedando
Las mujeres somos las de la intuición
Así, estoy despuesta a todo
Creo que empiezo a entender
Despacio, despacio, comienzas a entender
Que nos deseábamos desde antes de nacer
Te siento, te siento, desde antes de nacer
tengo el presentimiento de que empieza la acción
Adentro, adentro, te vas quedando
Las mujeres somos las de la intuición
Así, estoy despuesta a todo
las de la intuición
las de la intuición"	es
2	1	expected	"Você me faz correr demais os riscos desta highway
Você me faz correr atrás do horizonte desta highway
Ninguém por perto, silêncio no deserto, deserta highway
Estamos sós e nenhum de nós sabe exatamente onde vai parar
Mas não precisamos saber pra onde vamos, nós só precisamos ir
Não queremos ter o que não temos, nós só queremos viver
Sem motivos nem objetivos nós estamos vivos e é tudo
É, sobretudo, a lei dessa infinita highway.
Infinita highway.
Escute garota, o vento canta uma canção
Dessas que uma banda nunca toca sem razão
Então me digam garotas? será a estrada uma prisão?
Eu acho que sim, você finge que não
Mas nem por isto ficaremos parados
Com a cabeça nas nuvens e os pés no chão
Então tudo bem, garota, não adianta mesmo ser livre
Se tanta gente vive sem ter como comer
Estamos sós e nenhum de nós sabe onde vai parar
Estamos vivos sem motivos
Que motivos temos para estar atrás de palavras
Escondidas nas entrelinhas do horizonte desta highway?
Silenciosa highway
Infinita Highway
Eu vejo o horizonte trêmulo
Eu tenho os olhos úmidos
Eu posso estar completamente enganado
Eu posso estar correndo pro lado errado
Mas ""a dúvida é o preço da pureza"" e é inútil ter certeza
Eu vejo as placas dizendo não corra, não morra, não fume
Eu vejo as placas cortando o horizonte
Elas parecem facas de dois gumes
E a minha vida é tão confusa quanto a América central
Por isso não me acuse de ser irracional
Escute, garota, façamos um trato:
Você desliga o telefone se eu ficar um pé no saco
110, 120, 160 Só pra ver até quando o motor agüenta
Na boca em vez de um beijo, um chiclete de menta
E a sombra de um sorriso que eu deixei
Numa das curvas da highway
Silenciosa highway
Infinita highway"	pt
3	1	expected	"Si tú piensas que te voy a perseguir
Ni los sueñes, no soy así
Yo te busco donde sea
Y lo hago cuando quiera
Yo me muevo a mi manera, así soy yo
Quiero que lo sepas de una vez por mí
No espero nada de ti
Y si quiero yo te encuentro
Si deseo yo te beso
Si yo quiero yo te enredo porque
Así soy yo, así soy yo, así soy yo
Atrapo al que quiera y lo beso donde sea
Así soy yo, así soy yo
No me importa lo que intente
No me importa lo que piense
Así soy yo, así soy yo
No digo cosas en vano
Siempre voy directo al grano
Así soy yo, así soy yo
No pretendo que me entienda
¡Qué difícil es ser yo!
Y no digas que yo no te lo advertí
Piensa bien si te conviene así
Ando libre y sin pasiones
No me pongo condiciones
Yo no doy explicaciones, así soy yo
Y si hay otra que te haga más feliz
Ni lo pienses, nada de sufrir
No me vengas con perdones
Siempre tengo mil amores
Pruebo mis otros sabores porque
Así soy yo, así soy yo, así soy yo,
Atrapo al que quiera y lo beso donde sea
Así soy yo, así soy yo
No me importa lo que intente
No me importa lo que piense
Así soy yo, así soy yo
No digo cosas en vano
Siempre voy directo al grano
Así soy yo, así soy yo
No pretendo que me entienda
¡Qué difícil es ser yo!
Así soy yo, así soy yo, así soy yo
Siempre tengo horas buenas
No me gusta andar con penas
Así soy yo, así soy yo
Vivo con o sin abrazos y no entiendo de fracasos
Así soy yo, así soy yo
No me gusta tener dueño
El que se crea está en un sueño
Así soy yo, así soy yo
No pretendo que me entienda
Uhu
No me vengas con perdones
Siempre tengo mil amores
Pruebo mis otros sabores porque (porque)
Así soy yo, así soy yo, así soy yo
Atrapo al que quiera y lo beso donde sea
Así soy yo, así soy yo
No pretendo que me entienda
El que quiera que me quiera
Así soy yo, así soy yo
Siempre tengo horas buenas
No me gusta andar con penas
Así soy yo, así soy yo
Vivo con o sin abrazos y no entiendo de fracasos
Así soy yo, así soy yo
No me gusta tener dueño,
El que se crea está en un sueño
Así soy yo, así soy yo, así soy yo,
Eh, y si te enteras que estoy buena
Esto es cierto por si acaso
Outch
Jajaja"	es
2	1	expected	"Por trás do que eu sinto
Por trás do que eu sinto
Por trás do que eu sinto
Existem mais de mil complicações
Que juntas se transformam em direções
E no final já são quase milhões
Eu quero o infinito
Eu quero o infinito
Eu quero o infinito
Não todo, mas todo ele em frações
Para que eu possa ser as emoções
De corpo e alma, sem limitações"	pt
2	1	expected	"Pra toda fome
tudo que some, por que tem que ser
Tudo tem nome
São tantos nomes, sem nada ter
Sou todo ao tempo
e todo tempo tento me satisfazer
Para os que acham, que a vida é falta do que fazer
yeah
Não se acha mais a solução
tudo as vezes so é falta de opção
éééé
quando se tem ou não tem razão
Tudo sem nada ter
Tudo sem nada ter!
Pra toda fome
tudo que some, por que tem que ser
Tudo tem nome
São tantos nomes, sem nada ter
O que será da vida dos que não tem nada a perder
ééééééééé
Não se acha mais a solução
tudo as vezes so é falta de opção
éééé
quando se tem ou não tem razão
Tudo sem nada ter
Tudo sem nada ter!"	pt
