textid	text	label
1	Black girl, black girl, don't you lie to me Tell me where did you sleep last night ? In the pines, in the pines Where the sun never shines And I shivered the whole night long. Tell me where did you get that pretty little dress And those shoes that	Folk
2	So searching down and out looking for a place to stay A place of no commitment, a place with no involvement. I got one eye on insanity, the other on the wheel, One's turning, one's burning, blazing away. One's turning, one's burning, blazing away. Strange-looking exile with a passion for the dangerous, An eye for the wicked, a tongue for the nasty. I got one eye on insanity, the other on the wheel, One's turning, one's burning, blazing away. One's turning, one's burning, blazing away. What is the reason that things change ? What is the reason they can never stay the same ? What can I	Folk
3	How many roads must a man walk down Before you can call him a man ? How many seas must a white dove sail Before she sleeps in the sand ? How many times can a cannon ball fly Before they're forever banned ? The answer, my friend, is blowin' in the wind, The answer is blowin' in the wind. How many years can a mountain exist Before it is washed to the sea ? How many years can some people exist Before they're allowed to be free	Folk
4	Things are never what they seem Play a part most of the time. What is yours cannot be mine And I'm bored by dreams. Bored by dreams. I can't say the words I mean Make myself go through the line. Does the payment fit the crime If I'm bored by dreams ? Take me through the steps my love, Shall we dance again ? I was older then, Now we are the same. Lasse des r̻ves. R̻ve	Folk
5	I walk along the street of sorrow The boulevard of broken dreams Where gigolo and gigolette Can take a kiss without regret So they forget their broken dreams. You laugh tonight and cry tomorrow When you behold your shattered schemes. And gigolo and gigolette Wake up to find their eyes are wet With tears that tell of broken dreams. Here is where you'll always find me, Always walking up and down, But I left my soul behind me In an old cathedral town. The	Folk
6	Well, I know that you're tired of living this way, We've been trying to get high without having to pay. The walls are all empty, it's not a permanent state, Just let me tell you that it's not too late. You're a brain drain, you go on and on like a blood stain. You're a drain brain, you go on and on like a blood stain. Well, you know I ain't selfish, there's always a way. If a thing ain't worth having, you're having to pay. You're a brain drain, you go on and on like a blood stain. You're a train brain, you go on and on like a blood stain. Got so much to offer, but I can't pay the rent, I can't buy you roses 'cause the	Folk
7	Could have come through anytime, Cold lonely, puritan What are you fighting for ? It's not my security. It's just an old war, Not even a cold war, Don't say it in Russian, Don't say it in German. Say it in broken English, Say it in broken English. Lose your father, your husband, Your mother, your children. What are you dying for ? It's not my reality. It's just an old war, Not even a cold war, Don't say it in Russian, Don't say it in German. Say it in broken English, Say it in broken English. US CD MFSL Ultradisc UDCD 640 r 08 08 1995 What are	Folk
8	Every time I see you looking my way, Baby, baby, can't you hear my heartbeat ? In the park or walking down the high way, Baby, baby, can't you hear my heartbeat ? And when you move up closer to me I get a feeling that's oo-wee. Can't you hear the pounding of my heartbeat 'Cause you're the one I love, you're the one I love. When I feel you put your arms around me, Baby, baby, can't you hear my heartbeat ? Then I'm glad, I'm mighty glad you found me, Baby, baby, can't you hear my heartbeat ? And when you asked me to meet your	Folk
9	I found him by the stage last night, he was breathing his last breath. A bottle of gin and a cigarette was all what he had left. Well, I know that you make music 'cause you carry a guitar, But God help the troubadour who tries to be a star. Come on and play the chords of love, my friend, Play the chords of fame, But if you want to keep your song, do mi, do mi do, Don't play the chords of fame, oh no, no. You know I've seen my share of hustlers as they try to take the world And when they find a melody, they're surrounded by the girls. But it all fades so quickly like a sunny summer day, Reporters ask you questions and they write down what you say. Come on and play the	Folk
10	Charming, someone to fear Handsome, very much here Evil, dancing through fire Whore of Babylon, world famous clear ...Something to charm Danger, someone to harm Falling into the mire Climbing - higher and higher ...Someone to fear Handsome, very much here Evil, dancing through fire Whore of Babylon, world famous clear ...Ivory tower	Folk
